pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta,dificultad,porcentajes_aciertos,cantidad_fallo,cantidad_aciertos,cantidad_pregunta
¿Qué tipo de estructura es un diccionario?,colección ordenada,pares clave-valor,array,string especial,2,medio,,,,
¿Qué función se usa para recorrer una secuencia con índice?,range(),enumerate(),zip(),loop(),2,medio,,,,
¿Qué función permite aplicar una transformación a cada elemento de una lista?,map(),filter(),reduce(),apply(),1,medio,,,,
¿Qué devuelve la función type(3.14)?,int,<class 'int'>,<class 'float'>,float,3,medio,,,,
¿Qué imprime print('a' * 3)?,aaa,a3,Error,3a,1,medio,,,,
¿Qué hace la función sorted()?,Ordena una lista,Cuenta elementos,Reversa una lista,Corta una lista,1,medio,,,,
¿Cuál es el resultado de len('Python')?,6,5,7,Error,1,medio,,,,
¿Qué imprime print(2 == 2.0)?,True,False,Error,None,1,medio,,,,
¿Qué palabra se usa para omitir una iteración en un bucle?,exit,break,continue,skip,3,medio,,,,
¿Qué valor tiene True + True en Python?,2,True,1,Error,1,medio,,,,
¿Qué operador se usa para concatenar cadenas?,+,&,.,concat,1,medio,,,,
¿Qué hace el operador 'in'?,Compara dos variables,Asigna un valor,Verifica si elemento está en una colección,Intercambia variables,3,medio,,,,
